"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Yb176_Hf177","Hf176_Hf177_initial","eHf","eHf_1s"
"DRO","dro35b",1137,0.282086,0.0154,0.00061,0.083,0.282072926800439,1.5,1
"DRO","dro36",797,0.281984,0.0157,0.00047,0.069,0.281976961717394,-9.8,0.9
"DRO","dro37b",869,0.282108,0.0147,0.00075,0.108,0.282095745829977,-4,0.9
"DRO","dro37c",1195,0.282061,0.0149,0.00048,0.069,0.282050182261645,2,1.5
"DRO","dro52d",911,0.282219,0.0165,0.00074,0.112,0.282206319875415,0.9,1.05
"DRO","dro54",427,0.282227,0.0108,0.00141,0.194,0.2822157265658,-9.9,0.6
"DRO","dro55a",1726,0.281684,0.0093,0.00077,0.104,0.281658810528772,0.6,1.2
"DRO","dro55b",602,0.281956,0.0108,0.00072,0.094,0.28194787079488,-15.4,0.65
"DRO","dro56c",2828,0.280962,0.0113,0.00074,0.092,0.280921923192337,0.8,1.25
"DRO","dro57",1388,0.282118,0.0099,0.00118,0.182,0.282087055494127,7.8,1.55
"DRO","dro58a",581,0.282427,0.0088,0.00057,0.088,0.282420790096087,0.9,0.55
"DRO","dro59b",1625,0.281636,0.0097,0.00108,0.163,0.281602768228299,-3.8,1.2
"DRO","dro60b",1509,0.28187,0.0085,0.00073,0.108,0.281849163901096,2.2,1.15
"DRO","dro61a",311,0.282735,0.0129,0.00159,0.208,0.282725750964533,5.5,0.7
"DRO","dro61b",585,0.28225,0.0158,0.00028,0.042,0.282246928404531,-5.2,0.9
"DRO","dro63e",1648,0.28195,0.0145,0.00067,0.096,0.281929087690201,8.3,1.5
"DRO","dro64c",1796,0.281588,0.0151,0.00064,0.091,0.281566199880303,-1,1.45
"DRO","dro64e",587,0.2819,0.0155,0.00044,0.067,0.281895156614772,-17.6,0.85
"DRO","dro65b",1180,0.281868,0.0157,0.00092,0.129,0.281847529135014,-5.6,1.55
"DRO","dro66c",306,0.282557,0.0151,0.00088,0.13,0.282551963570469,-0.8,0.8
