"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s","Pb207.U235","Pb207.U235_1s","Pb206.U238","Pb206.U238_1s","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
"MB07-2","MB07-2-10",0.0751,0.001,1.9257,0.026,0.1859,0.0012,1099,7,1070,17,0.8
"MB07-2","MB07-2-11",0.059,0.0012,0.7371,0.0145,0.0906,6e-04,559,4,569,31,-0.4
"MB07-2","MB07-2-12",0.0564,0.0018,0.6797,0.0209,0.0877,8e-04,542,5,469,51,2.8
"MB07-2","MB07-2-13",0.059,0.0012,0.7531,0.0152,0.0926,7e-04,571,4,568,31,0.2
"MB07-2","MB07-2-14",0.0746,8e-04,1.8585,0.0215,0.1802,0.0011,1068,6,1056,14,0.2
"MB07-2","MB07-2-15",0.0597,0.0016,0.7319,0.0218,0.0885,0.001,546,6,594,45,-2.2
"MB07-2","MB07-2-16",0.0574,0.0013,0.702,0.0166,0.0884,0.001,546,6,508,33,1.1
"MB07-2","MB07-2-17",0.0596,8e-04,0.8398,0.0119,0.1019,7e-04,625,4,590,19,1
"MB07-2","MB07-2-18",0.1675,0.005,9.6695,0.2397,0.4186,0.0071,2254,32,2533,51,-6.7
"MB07-2","MB07-2-19",0.0586,9e-04,0.6844,0.011,0.0844,5e-04,523,3,550,24,-1.1
"MB07-2","MB07-2-21",0.078,0.0011,2.1456,0.032,0.1993,0.0015,1172,8,1146,18,0.7
"MB07-2","MB07-2-22",0.0808,0.001,2.3054,0.03,0.2063,0.0014,1209,7,1217,15,-0.4
"MB07-2","MB07-2-23",0.0585,8e-04,0.7362,0.0101,0.091,6e-04,562,4,548,18,0.4
"MB07-2","MB07-2-24",0.078,0.0018,2.1374,0.0476,0.1989,0.0019,1170,10,1148,29,0.8
"MB07-2","MB07-2-26",0.0675,0.0016,1.2642,0.0285,0.1358,0.0012,821,7,853,32,-1.1
"MB07-2","MB07-2-27",0.0721,0.0021,1.2779,0.0347,0.1285,0.0011,779,6,990,59,-7.3
"MB07-2","MB07-2-28",0.0705,0.0031,1.4509,0.0577,0.1494,0.003,897,17,942,94,-1.4
"MB07-2","MB07-2-29",0.1232,0.0023,5.9493,0.0993,0.3502,0.0028,1936,13,2003,34,-1.7
"MB07-2","MB07-2-30",0.0601,0.0012,0.7853,0.0157,0.0946,7e-04,583,4,606,30,-1
"MB07-2","MB07-2-31",0.0691,0.0017,1.3985,0.0338,0.1465,0.0014,881,8,903,34,-0.8
"MB07-2","MB07-2-32",0.0772,0.0027,1.9565,0.0705,0.1829,0.002,1083,11,1125,54,-1.7
"MB07-2","MB07-2-33",0.0794,0.0011,2.1725,0.0331,0.1978,0.0018,1164,10,1181,16,-0.7
"MB07-2","MB07-2-34",0.1426,0.0019,7.4509,0.1006,0.3774,0.0024,2064,11,2259,15,-5
"MB07-2","MB07-2-35",0.0781,0.0012,2.0763,0.0309,0.1922,0.0013,1133,7,1149,19,-0.7
"MB07-2","MB07-2-36",0.1119,0.0016,4.7767,0.0777,0.3084,0.0031,1733,15,1830,16,-2.8
"MB07-2","MB07-2-37",0.1367,0.0017,7.1813,0.1082,0.379,0.0034,2072,16,2185,14,-3
"MB07-2","MB07-2-38",0.1013,0.0014,4.0642,0.056,0.2899,0.0018,1641,9,1647,17,-0.4
"MB07-2","MB07-2-39",0.0601,0.0011,0.8419,0.0159,0.1012,6e-04,621,3,605,31,0.2
"MB07-2","MB07-2-40",0.1073,0.0016,4.8565,0.0713,0.327,0.0018,1824,9,1754,19,1.6
