"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s_per","Pb207.U235","Pb207.U235_1s_per","Pb206.U238","Pb206.U238_1s_per","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
2115399,"399.11.1.1",0.05866,1.89,0.76636,2.73,0.09475,1.97,583.6,11,554.5,41.2,-5.5
2115399,"399.92.1.1",0.06017,1.16,0.79088,1.97,0.09533,1.59,587,8.9,609.7,25.2,3.9
2115399,"399.88.1.1",0.05972,1.7,0.80223,2.31,0.09742,1.56,599.3,8.9,593.5,36.9,-1
2115399,"399.36.1.1",0.06109,3.17,0.87672,4,0.10409,2.44,638.3,14.8,642.3,68.2,0.6
2115399,"399.14.1.1",0.06022,1.62,0.8703,2.31,0.10481,1.64,642.5,10,611.7,34.9,-5.3
2115399,"399.29.1.1",0.06059,4.49,0.88313,5.32,0.10572,2.85,647.8,17.6,624.6,96.8,-3.9
2115399,"399.4.1.1",0.05898,2.83,0.87046,3.32,0.10703,1.73,655.5,10.8,566.5,61.7,-16.5
2115399,"399.77.2.1",0.06571,3.98,0.41409,4.37,0.04571,1.79,288.1,5,797.1,83.5,65.3
2115399,"399.28.1.1",0.09678,1,3.19305,1.89,0.23929,1.61,1383,20,1562.9,18.8,12.8
2115399,"399.21.1.1",0.09829,0.72,1.40154,1.69,0.10342,1.53,634.4,9.2,1592,13.4,63.1
2115399,"399.67.1.1",0.10115,2.62,3.52306,3.87,0.25261,2.85,1451.9,37.1,1645.4,48.6,13.1
2115399,"399.7.1.1",0.1101,0.62,2.45044,4.53,0.16142,4.49,964.6,40.2,1801.1,11.3,49.9
2115399,"399.80.1.1",0.1125,0.8,2.24847,3.57,0.14496,3.48,872.6,28.4,1840.2,14.4,56.1
2115399,"399.86.1.1",0.05433,1.57,0.39845,2.23,0.05319,1.58,334.1,5.1,384.6,35.3,13.5
2115399,"399.68.1.1",0.05533,1.75,0.41001,2.37,0.05375,1.59,337.5,5.2,425.5,39.1,21.2
2115399,"399.10.1.1",0.05431,2.04,0.40549,2.59,0.05415,1.6,339.9,5.3,384,45.8,11.8
2115399,"399.81.1.1",0.0553,2.69,0.42148,3.15,0.05528,1.64,346.9,5.5,424.3,60.1,18.8
2115399,"399.38.1.1",0.13778,0.5,7.57815,1.66,0.3989,1.58,2164,29.1,2199.5,8.6,1.9
2115399,"399.44.1.1",0.13744,1.11,7.62013,2.3,0.4021,2.01,2178.7,37.2,2195.2,19.2,0.9
2115399,"399.63.1.1",0.14786,0.61,8.59044,1.79,0.42137,1.69,2266.7,32.3,2321.3,10.4,2.8
2115399,"399.24.1.1",0.15778,0.3,9.78649,1.83,0.44985,1.81,2394.6,36.1,2432,5.1,1.8
2115399,"399.99.1.1",0.16731,0.54,10.63148,1.81,0.46085,1.73,2443.3,35.1,2531,9,4.2
2115399,"399.2.1.1",0.16704,0.49,10.96211,1.76,0.47595,1.69,2509.6,35.2,2528.2,8.3,0.9
2115399,"399.75.1.1",0.26304,1.23,21.95697,2.18,0.6054,1.8,3051.6,43.7,3265,19.3,8.2
2115399,"399.60.1.1",0.06124,4.98,0.75356,5.39,0.08924,2.08,551,11,647.8,106.9,15.6
2115399,"399.61.1.1",0.06945,1.43,1.36586,2.21,0.14263,1.68,859.5,13.5,912.3,29.5,6.2
2115399,"399.56.1.1",0.06952,10.81,0.42869,11.51,0.04472,3.96,282,10.9,914.3,222.4,70.6
2115399,"399.58.1.1",0.07912,0.77,2.14115,1.78,0.19628,1.61,1155.3,17,1175,15.3,1.8
2115399,"399.59.1.1",0.08189,2.98,2.07895,3.73,0.18413,2.25,1089.5,22.6,1242.8,58.3,13.4
