NA,River,Point_bar_designation,Bar_Area_(km2),Amplitude_(m),CB_Width_(2x_Amplitude_-_m),Measured_Channel-belt_Width_(m),Channel-belt_1/2_wavelength_(m),Meander_wavelength_(2x_1/2_lambd,Long_axis_Length_(m),Short_Axis_Length_(m),Thickness_(m),CB_W/T,"CB
wavelength
/_thickness","CB_1/2
wavelength_/_amplitude",Bankfull_Thickness_Type,Mean_Bankfull_thickness_(m),Maximum_Bankfull_thickness_(m),Intermediate_Bankfull_Thickness_(m),Eddy_Accretion_thickness_(m),Contributing_Drainage_Area_(km2)
18,Rhine,GE_07_B_ptbar1b,NA,360,720,NA,3260,6520,NA,NA,10,72,652,9.06,maximum,NA,10,NA,NA,160778
19,Rhine,GE07_D_Waal_ptbar1,NA,1400,2800,NA,912,1824,NA,NA,8,350,228,0.65,intermediate,NA,NA,8,NA,160778
20,Rhine,Mehr_1,NA,3428,6856,NA,2424,4848,NA,NA,7,979,693,0.71,mean,7,NA,NA,NA,159526
21,Rhine,Mehr_2,NA,3848,7696,NA,1929,3858,NA,NA,8,962,482,0.5,intermediate,NA,NA,8,NA,159526
22,Rhine,Mehr_3,NA,2325,4650,NA,958,1916,NA,NA,7,664,274,0.41,maximum,NA,7,NA,NA,159526
23,Rhine,Mundelheim_1,NA,1342,2684,NA,2409,4818,NA,NA,7,383,688,1.8,mean,7,NA,NA,NA,147598
24,Rhine,Mundelheim_2,NA,2740,5480,NA,1334,2668,NA,NA,7,783,381,0.49,mean,7,NA,NA,NA,148828
25,Rhine,Rheinberg_1,NA,3300,6600,NA,2800,5600,NA,NA,9,733,622,0.85,maximum,NA,9,NA,NA,159251
26,Rhine,Rheinberg_2,NA,2660,5320,NA,2480,4960,NA,NA,12,443,413,0.93,maximum,7,12,NA,NA,159251
27,Rhine,Rheinberg_3,NA,1120,2240,NA,1929,3858,1929,1120,12,187,322,1.72,maximum,NA,12,NA,NA,159251
28,Rhine,Urdenbach_1,NA,2760,5520,NA,2175,4350,NA,NA,11,502,395,0.79,maximum,8,11,NA,NA,147598
29,Rhine,Urdenbach_2,NA,1750,3500,NA,2072,4144,NA,NA,12,292,345,1.18,maximum,8,12,NA,NA,148828
30,Rhine-Meuse,Hollandsche Ijssel_11.3,NA,180,180,NA,943,1886,NA,NA,8,23,236,5.24,maximum,NA,8,NA,NA,165000
31,Rhine-Meuse,Hollandsche Ijssel_16.2,NA,320,320,NA,1079,2158,NA,NA,9,36,240,3.37,maximum,NA,9,NA,NA,165000
32,Rhine-Meuse,Hollandsche Ijssel_21.3,NA,180,180,NA,753,1506,NA,NA,8,23,188,4.18,maximum,NA,8,NA,NA,165000
33,Rhine-Meuse,Hollandsche Ijssel_23.2,NA,150,150,NA,784,1568,NA,NA,6,24,253,5.23,maximum,NA,6.2,NA,NA,165000
34,Rhine-Meuse,Hollandsche Ijssel_3.1,NA,315,315,NA,1474,2948,NA,NA,8,42,393,4.68,maximum,NA,7.5,NA,NA,165000
35,Rhine-Meuse,Hollandsche Ijssel_6.3,NA,450,450,NA,722,1444,NA,NA,8,56,181,1.6,maximum,NA,8,NA,NA,165000
36,Rhine-Meuse,Linge_18.5,NA,1250,1250,NA,937,1874,NA,NA,6,208,312,0.75,maximum,NA,6,NA,NA,165000
37,Rhine-Meuse,Linge_22.8,NA,540,540,NA,1099,2198,NA,NA,5,100,407,2.04,maximum,NA,5.4,NA,NA,165000
38,Rhine-Meuse,Linge_26.5,NA,940,940,NA,1298,2596,NA,NA,8,118,325,1.38,maximum,NA,8,NA,NA,165000
39,Rhine-Meuse,Linge_33.5,NA,400,400,NA,1104,2208,NA,NA,5,74,409,2.76,maximum,NA,5.4,NA,NA,165000
40,Rhine-Meuse,Linge_38.5,NA,480,480,NA,974,1948,NA,NA,7,69,278,2.03,maximum,NA,7.5,NA,NA,165000
41,Rhine-Meuse,Linge_40.5,NA,340,340,NA,840,1680,NA,NA,7,49,240,2.47,maximum,NA,7.5,NA,NA,165000
42,Rhine-Meuse,Linge_8,NA,610,610,NA,1145,2290,NA,NA,6,111,416,1.88,maximum,NA,5.5,NA,NA,165000
43,Rhine-Meuse,Schaik_0.4,NA,170,170,NA,515,1030,NA,NA,5,33,202,3.03,maximum,NA,5.1,NA,NA,165000
44,Rhine-Meuse,Schaik_14.9,NA,55,55,NA,343,686,NA,NA,7,8,104,6.24,maximum,NA,6.6,NA,NA,165000
45,Rhine-Meuse,Schaik_15.2,NA,60,60,NA,334,668,NA,NA,6,9,104,5.57,maximum,NA,6.4,NA,NA,165000
46,Rhine-Meuse,Schaik_19.1,NA,50,50,NA,233,466,NA,NA,6,8,75,4.66,maximum,NA,6.2,NA,NA,165000
47,Rhine-Meuse,Schaik_2.8,NA,150,150,NA,562,1124,NA,NA,6,25,184,3.75,maximum,NA,6.1,NA,NA,165000
48,Rhine-Meuse,Schaik_22,NA,40,40,NA,418,836,NA,NA,6,7,147,10.45,maximum,NA,5.7,NA,NA,165000
49,Rhine-Meuse,Schaik_5.2,NA,140,140,NA,572,1144,NA,NA,6,25,208,4.09,maximum,NA,5.5,NA,NA,165000
50,Rhine-Meuse,Schaik_8.7,NA,70,70,NA,491,982,NA,NA,6,12,169,7.01,maximum,NA,5.8,NA,NA,165000
51,Rhine-Meuse,"Schoonrewoerd_3_11.
6",NA,125,125,NA,556,1112,NA,NA,6,22,199,4.45,maximum,NA,5.6,NA,NA,165000
52,Rhine-Meuse,Schoonrewoerd_Cule mbord_east_1.7,NA,140,140,NA,NA,0,NA,NA,4,39,0,0,maximum,NA,3.6,NA,NA,165000
53,Rhine-Meuse,Schoonrewoerd_Cule mbord_west_2.0,NA,195,195,NA,NA,0,NA,NA,5,43,0,0,maximum,NA,4.5,NA,NA,165000
54,Rhine-Meuse,Schoonrewoerd_Diefd ijk_middle_6.0,NA,80,80,NA,378,756,NA,NA,8,10,91,4.73,maximum,NA,8.3,NA,NA,165000
55,Rhine-Meuse,Schoonrewoerd_Diefd ijk_northwest_6.4,NA,70,70,NA,677,1354,NA,NA,5,15,282,9.67,maximum,NA,4.8,NA,NA,165000
56,Rhine-Meuse,Schoonrewoerd_Diefd ijk_southeast_5.4,NA,180,180,NA,229,458,NA,NA,7,26,66,1.27,maximum,NA,6.9,NA,NA,165000
0,Rhine-Meuse,Schoonrewoerd_Leer broek_north_15.3,NA,130,130,NA,403,806,NA,NA,6,23,144,3.1,maximum,NA,5.6,NA,NA,165000
1,Rhine-Meuse,Schoonrewoerd_Leer broek_south_14.8,NA,95,95,NA,338,676,NA,NA,5,18,130,3.56,maximum,NA,5.2,NA,NA,165000
2,Rhine-Meuse,Schoonrewoerd_Noor delos_north_21.5,NA,90,90,NA,223,446,NA,NA,7,12,61,2.48,maximum,NA,7.3,NA,NA,165000
3,Rhine-Meuse,Schoonrewoerd_Noor delos_south_21.5,NA,80,80,NA,226,452,NA,NA,7,11,61,2.83,maximum,NA,7.4,NA,NA,165000
4,Rhine-Meuse,Schoonrewoerd_Goud riaan_26.5,NA,95,95,NA,391,782,NA,NA,8,12,97,4.12,maximum,NA,8.1,NA,NA,165000
5,Rhine-Meuse,Schoonrewoerd_Mole naarsgraaf_I_32.8,NA,65,65,NA,318,636,NA,NA,9,7,72,4.89,maximum,NA,8.8,NA,NA,165000
6,Rhine-Meuse,Schoonrewoerd_Mole naarsgraaf_II_34.6,NA,50,50,NA,215,430,NA,NA,11,5,41,4.3,maximum,NA,10.5,NA,NA,165000
