"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s","Pb207.U235","Pb207.U235_1s","U238.Pb206","U238.Pb206_1s","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
135963.1,23.1,0.06151,0.00101,NA,NA,10.347,0.104,595,6,657,35,9.5
135963.1,34.1,0.06185,0.00065,NA,NA,10.286,0.092,598,5,669,22,10.6
135963.1,42.1,0.06846,0.00063,NA,NA,6.919,0.089,870,10,882,19,1.4
135963.1,47.1,0.06933,0.00049,NA,NA,7.641,0.069,793,7,908,14,12.7
135963.1,4.1,0.07432,0.00053,NA,NA,5.541,0.054,1070,10,1050,14,-1.8
135963.1,28.1,0.07516,4e-04,NA,NA,5.627,0.052,1054,9,1073,11,1.7
135963.1,17.1,0.07521,0.00179,NA,NA,5.263,0.077,1121,15,1074,48,-4.4
135963.1,3.1,0.07664,0.00235,NA,NA,5.367,0.057,1101,11,1112,61,0.9
135963.1,46.1,0.077,0.00128,NA,NA,5.034,0.064,1168,14,1121,33,-4.2
135963.1,50.1,0.07846,0.00054,NA,NA,5.141,0.048,1146,10,1158,14,1.1
135963.1,9.1,0.07931,0.00045,NA,NA,5.008,0.065,1174,14,1180,11,0.5
135963.1,15.1,0.07953,0.0064,NA,NA,5.057,0.079,1163,17,1185,159,1.9
135963.1,43.1,0.07967,5e-04,NA,NA,5.034,0.051,1168,11,1189,12,1.7
135963.1,21.1,0.07993,0.0014,NA,NA,5.094,0.079,1156,16,1195,35,3.3
135963.1,10.1,0.08098,0.00147,NA,NA,5.063,0.065,1162,14,1221,36,4.8
135963.1,16.1,0.08103,0.00053,NA,NA,5.066,0.049,1161,10,1222,13,5
135963.1,25.1,0.08835,0.00084,NA,NA,4.004,0.041,1437,13,1390,18,-3.4
135963.1,35.1,0.09139,0.00075,NA,NA,4.099,0.042,1407,13,1455,16,3.3
135963.1,49.1,0.09224,0.00073,NA,NA,3.967,0.035,1449,11,1472,15,1.6
135963.1,33.1,0.09649,9e-04,NA,NA,3.764,0.049,1519,18,1557,18,2.5
135963.1,12.1,0.09702,0.00067,NA,NA,3.581,0.035,1588,14,1568,13,-1.3
135963.1,48.1,0.09884,0.00092,NA,NA,3.752,0.043,1523,15,1602,17,4.9
135963.1,30.1,0.10715,0.00087,NA,NA,3.105,0.032,1800,16,1751,15,-2.8
135963.1,26.1,0.17371,6e-04,NA,NA,2.1,0.019,2510,19,2594,6,3.2
135963.1,51.1,0.18419,0.00052,NA,NA,2.018,0.02,2595,21,2691,5,3.6
135963.1,19.1,0.18625,0.00066,NA,NA,1.984,0.019,2631,21,2709,6,2.9
135963.1,39.1,0.18654,0.00039,NA,NA,1.969,0.018,2647,20,2712,3,2.4
135963.1,32.1,0.19433,0.00039,NA,NA,1.951,0.018,2668,20,2779,3,4
135963.1,1.1,0.2285,0.00103,NA,NA,1.678,0.02,3014,29,3042,7,0.9
135964.1,51.1,0.06077,0.00071,NA,NA,10.994,0.085,561,4,631,25,11.1
135964.1,46.1,0.0572,0.00079,NA,NA,10.547,0.101,584,5,499,31,-17
135964.1,21.1,0.05874,0.00067,NA,NA,10.676,0.084,577,4,557,25,-3.6
135964.1,4.1,0.05922,0.00049,NA,NA,10.625,0.077,580,4,575,18,-0.8
135964.1,25.1,0.05938,0.00029,NA,NA,10.749,0.086,573,4,581,10,1.3
135964.1,16.1,0.05941,0.00092,NA,NA,10.192,0.08,603,5,582,34,-3.7
135964.1,49.1,0.05989,0.00216,NA,NA,10.583,0.094,582,5,600,78,2.9
135964.1,14.1,0.06131,0.00059,NA,NA,10.354,0.078,594,4,650,21,8.6
135964.1,26.1,0.06243,9e-04,NA,NA,10.297,0.091,597,5,689,31,13.3
135964.1,28.1,0.06253,0.00343,NA,NA,7.011,0.072,860,8,692,117,-24.2
135964.1,3.1,0.0668,0.00091,NA,NA,7.119,0.06,847,7,831,28,-1.9
135964.1,19.1,0.07194,0.00155,NA,NA,6.66,0.056,902,7,984,44,8.4
135964.1,39.1,0.07233,0.00105,NA,NA,5.956,0.06,1001,9,995,30,-0.5
135964.1,1.1,0.07376,0.00381,NA,NA,5.731,0.061,1037,10,1035,104,-0.2
135964.1,42.1,0.07376,0.00082,NA,NA,5.736,0.049,1036,8,1035,22,-0.1
135964.1,43.1,0.0741,0.00121,NA,NA,5.773,0.058,1030,10,1044,33,1.4
135964.1,9.1,0.0742,0.00216,NA,NA,5.57,0.05,1064,9,1047,59,-1.7
135964.1,10.1,0.07506,0.00083,NA,NA,5.646,0.047,1051,8,1070,22,1.8
135964.1,-56.1,0.07675,0.00119,NA,NA,5.095,0.044,1155,9,1115,31,-3.6
135964.1,32.1,0.07741,0.00063,NA,NA,5.111,0.039,1152,8,1132,16,-1.8
135964.1,48.1,0.07782,0.00101,NA,NA,5.079,0.096,1159,20,1142,26,-1.4
135964.1,47.1,0.07785,0.00076,NA,NA,5.11,0.043,1152,9,1143,20,-0.8
135964.1,34.1,0.07798,0.00075,NA,NA,5.04,0.043,1167,9,1146,19,-1.8
135964.1,17.1,0.07804,0.00048,NA,NA,5.427,0.043,1090,8,1148,12,5
135964.1,23.1,0.07852,0.00083,NA,NA,5.047,0.04,1165,9,1160,21,-0.5
135964.1,20.1,0.07856,0.00059,NA,NA,5.139,0.04,1146,8,1161,15,1.3
135964.1,36.1,0.07865,0.00052,NA,NA,5.115,0.04,1151,8,1163,13,1
135964.1,5.1,0.07875,0.00121,NA,NA,5.169,0.045,1140,9,1166,30,2.2
135964.1,53.1,0.0788,0.00081,NA,NA,5.154,0.045,1143,9,1167,20,2
135964.1,8.1,0.07886,0.00111,NA,NA,4.955,0.042,1185,9,1169,28,-1.4
135964.1,6.1,0.07897,0.00105,NA,NA,4.958,0.044,1184,10,1171,26,-1.1
135964.1,12.1,0.07898,0.00038,NA,NA,5.128,0.038,1148,8,1172,10,2
135964.1,29.1,0.07905,0.00272,NA,NA,5.173,0.059,1139,12,1173,68,2.9
135964.1,38.1,0.07908,0.00124,NA,NA,5.107,0.051,1153,10,1174,31,1.8
135964.1,18.1,0.07952,0.00109,NA,NA,5.019,0.04,1171,9,1185,27,1.2
135964.1,22.1,0.07976,0.00063,NA,NA,4.846,0.04,1209,9,1191,16,-1.5
135964.1,30.1,0.08005,0.00072,NA,NA,4.994,0.04,1177,9,1198,18,1.8
135964.1,15.1,0.09167,0.00064,NA,NA,3.999,0.033,1439,11,1461,13,1.5
135964.1,11.1,0.09591,0.00037,NA,NA,3.678,0.027,1550,10,1546,7,-0.3
135964.1,24.1,0.09778,0.00145,NA,NA,3.56,0.034,1596,14,1582,28,-0.9
135964.1,54.1,0.09783,0.00074,NA,NA,3.581,0.03,1588,12,1583,14,-0.3
135964.1,27.1,0.099,0.0014,NA,NA,3.721,0.034,1534,12,1605,26,4.4
135964.1,41.1,0.11347,0.00029,NA,NA,3.008,0.022,1850,12,1856,5,0.3
135964.1,13.1,0.12501,0.00061,NA,NA,2.759,0.024,1994,15,2029,9,1.7
135964.1,50.1,0.1439,0.00048,NA,NA,2.368,0.018,2271,15,2275,6,0.2
135964.1,55.1,0.24516,0.00062,NA,NA,1.579,0.012,3163,19,3154,4,-0.3
184269.1,6.1,0.06048,0.00049,NA,NA,11.353,0.144,544,7,621,17,12.4
