"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Lu176_Hf177_1s","Hf176_Hf177_initial","eHf","eHf_1s"
2123204,238,263,0.282724,2.7e-05,0.001925,2.4e-05,0.282757534777004,4.87389586537823,0.966102844366987
2123204,239,641,0.282607,2.4e-05,0.001,1.35e-05,0.282633973607572,8.96166778016516,0.866118631844414
2123204,240,578,0.282564,2.25e-05,0.001049,5.5e-06,0.282591630927195,6.04728997889215,0.805914301469719
2123204,241,655,0.282039,2.35e-05,0.00010568,3.6e-07,0.282076701122309,-10.4589842731984,0.871694115345146
2004581,242,572,0.281404,2.25e-05,9.309e-05,1.3e-07,0.2814410016187,-34.8284625771778,0.838633089089044
2004581,243,876,0.282022,2.15e-05,0.0001801,6e-07,0.282056033467529,-6.21905209468254,1.54833353896806
2004581,244,521,0.282594,2.35e-05,0.000233,1.7e-05,0.28262772498569,6.04678806059189,0.853524048395528
2004581,245,626,0.282258,2.25e-05,0.0004384,4.15e-06,0.282288851729546,-3.59689241760219,0.822915369957662
2004581,246,678,0.282388,2.45e-05,0.0011042,2.15e-06,0.282410949074606,1.89506173045695,0.888107487432842
2004581,247,1093,0.282207,2.45e-05,0.000686,5.5e-06,0.282228872768561,4.81468069909674,1.31571860718419
2004581,248,1054,0.28247,2.3e-05,0.0010909,1.3e-06,0.28248334391906,12.950495434545,0.949679243552012
2004581,249,632,0.282153,2.15e-05,0.0007976,3.2e-06,0.282177543225248,-7.4039306784901,0.769038148180883
2004581,250,523,0.282488,2.35e-05,0.0005456,1.25e-06,0.282516652206222,2.15922311912697,0.844099277454285
2004581,251,534,0.282433,2.3e-05,0.000977,4.25e-06,0.282456221346831,0.266205432652988,0.847136176511591
2004581,252,1549,0.281998,2e-05,0.0003197,1.05e-06,0.282021629535361,7.85846179115257,0.776353817274033
2004581,253,1202,0.282037,2.1e-05,0.000603,7e-07,0.28205432971514,1.10122226484544,0.794929430699053
2004581,254,1110,0.282123,2.6e-05,0.0007263,9e-07,0.282138807792357,2.00749324985594,0.986230470671143
2004581,255,1176,0.281816,2.2e-05,0.0007397,5.5e-07,0.281831597386892,-7.38665832133445,0.834623304917445
2004581,257,496,0.282447,2.6e-05,0.0012404,2.8e-06,0.282465472569368,-0.257439822688443,0.91966149576403
2004581,258,1040,0.282356,3.55e-05,0.0006046,1.4e-06,0.282373158712824,8.72747640243032,1.29972005596593
2004581,259,1169,0.282143,3.75e-05,0.0007315,4.35e-06,0.28217287682787,4.554698421535,1.35480616796188
2004581,260,520,0.282342,3.55e-05,6.134e-05,3.3e-07,0.282383402230782,-2.62551967964431,1.26765971267497
2004581,261,2026,0.281462,4.8e-05,0.0011284,2.65e-06,0.281463547769346,-0.980111965078745,1.76899013706838
2004581,262,215,0.28266,3.5e-05,0.0011637,1.15e-06,0.282696324486369,1.63886642277511,1.23440416360964
2004581,263,592,0.2818,5.5e-05,0.0002824,2.85e-06,0.281836864802383,-20.3641809103561,1.99420217210557
2004581,264,560,0.281733,4.1e-05,8.784e-05,4.6e-07,0.281770077791651,-23.4450893387772,1.45799542416211
2004581,265,918,0.282458,4.45e-05,0.001634,6e-06,0.282465783925948,9.24832128126774,1.57859652191732
2004581,266,549,0.282256,3.45e-05,0.000387,6.5e-06,0.282287017210251,-5.38842297336251,1.23363095258074
2004581,267,599,0.282464,4.45e-05,0.0002348,2.85e-07,0.282496362260899,3.14524445483633,1.58003619139978
2004581,268,1064,0.282139,4.3e-05,0.001558,1.35e-05,0.282140774886484,1.03431167651769,1.677269299078
2004581,269,1639,0.281962,4e-05,0.000918,6.5e-06,0.281965505896704,7.93020785765153,1.49526676339178
2004581,270,1763,0.281875,3.75e-05,0.001692,2.5e-05,0.281849442414542,6.65946621449587,1.33251104328252
2004581,271,586,0.282227,3.4e-05,0.0003876,2.7e-06,0.282253740726165,-5.73743791179027,1.21074331387688
2004581,272,540,0.281705,4.25e-05,0.0001982,2.3e-06,0.281731993842751,-25.2407060660143,1.50595980950757
2004581,273,2117,0.281181,3.45e-05,0.00039546,3.05e-07,0.281194074103754,-8.44938247096749,1.25049207852535
2004581,274,1162,0.282234,3.65e-05,0.000683,2.05e-06,0.28224703695337,7.02502231118229,1.33351208944423
2004581,275,966,0.282306,4.35e-05,0.0019011,4.3e-06,0.282299439588829,4.43908592980158,1.54719155420306
2004581,276,1167,0.282195,3.75e-05,0.0009588,1.55e-06,0.282200903403267,5.50295299535764,1.35994969069588
2004581,277,2889,0.280951,3.4e-05,0.0009857,2.1e-06,0.280921433823146,-0.126166140648198,1.21393161278365
2004581,278,592,0.282699,2.8e-05,0.0002842,5.5e-07,0.282720844818829,10.9369004498405,1.01818050183505
2004581,279,510,0.282373,3e-05,0.0002711,1.2e-06,0.282394409130354,-2.45977518250506,1.07745076167356
2004581,280,1434,0.282067,2.8e-05,0.0005246,1.2e-06,0.28207678075216,7.1842845811565,1.16174997498577
2004581,281,993,0.282431,2.95e-05,0.001598,2.55e-05,0.282425130186339,9.50468660266157,1.07111284594495
2004581,282,241,0.282891,2.6e-05,0.0007231,9.5e-07,0.282910742603641,9.80430865884285,0.917656407856797
