"SampleID","SpotID","Crystallization_Age_Ma","Hf176_Hf177","Hf176_Hf177_1s","Lu176_Hf177","Yb176_Hf177","Hf176_Hf177_initial","eHf","eHf_1s"
"95_141","141-64",535,0.282309,7.3e-06,0.000625202,0.0291293,0.282302731,-4.8,0.26
"95_141","141-68",976,0.28233,9.8e-06,0.000832741,0.0314903,0.282314703,5.4,0.34
"95_141","141-70",524,0.282099,7.4e-06,0.000107187,0.00322179,0.282097947,-12.3,0.26
"95_141","141-71",906,0.282414,1e-05,0.000959607,0.0361683,0.282397648,6.8,0.35
"95_141","141-72",547,0.28213,7.4e-06,0.000508806,0.0196288,0.282124783,-10.9,0.26
"95_141","141-63",2044,0.281454,7.6e-06,0.0019683,0.088308,0.281377519,-3.7,0.27
"95_141","141-62",865,0.282204,8.2e-06,0.000592162,0.0250473,0.28219437,-1.3,0.29
"95_141","141-61",501,0.28211,7.9e-06,0.000531906,0.0231366,0.282105007,-12.6,0.28
"95_141","141-60",717,0.282536,8.9e-06,0.00133821,0.0597077,0.282517985,6.8,0.31
"95_141","141-59",2790,0.281046,9.6e-06,0.00145789,0.0592022,0.280968133,-1.1,0.34
"95_141","141-58",537,0.282151,9.4e-06,0.000472499,0.0194626,0.282146244,-10.3,0.33
"95_141","141-57",520,0.281917,8.3e-06,0.000560712,0.0224614,0.281911536,-19,0.29
"95_141","141-56",1284,0.282209,6.5e-06,0.000916197,0.0278609,0.282186795,7.8,0.23
"95_141","141-55",527,0.281742,1.2e-05,0.00123905,0.0429332,0.281729762,-25.3,0.42
"BL3","JJBL3-01",1843,0.281424,1.2e-05,0.00200421,0.120883,0.281353914,-9.1,0.42
"BL3","JJBL3-02",546,0.282111,1.6e-05,0.00252672,0.177946,0.282085139,-12.3,0.56
"BL3","JJBL3-03",1008,0.281809,1.3e-05,0.00127221,0.0666976,0.281784857,-12.7,0.46
"BL3","JJBL3-04",2009,0.281428,1.4e-05,0.00107581,0.056353,0.281386927,-4.2,0.49
"BL3","JJBL3-05",560,0.281711,1.7e-05,0.00105883,0.0607376,0.281699884,-25.6,0.6
